Lj3.0_chrC	source	1..150519	ff_definition	@@[organism]@@ DNA, contig: Lj3.0_chrC
			mol_type	genomic DNA
			organism	Lotus japonicus
			strain	MG-20
			note	contig: Lj3.0_chrC
	CDS	complement(520..1365)	codon_start	1
			locus_tag	PRE_TEST_000000100
			note	LjLj3.0_chrCg3v0000020.1
			product	Photosystem Q(B) protein
			transl_table	1
	CDS	complement(5158..6585)	codon_start	1
			locus_tag	PRE_TEST_000000200
			note	LjLj3.0_chrCg3v0000040.1
			product	Ribulose bisphosphate carboxylase large chain
			transl_table	1
	CDS	7484..8864	codon_start	1
			locus_tag	PRE_TEST_000000300
			note	LjLj3.0_chrCg3v0000060.1
			product	ATP synthase subunit beta (Fragment)
			transl_table	1
	CDS	11104..11797	codon_start	1
			locus_tag	PRE_TEST_000000400
			note	LjLj3.0_chrCg3v0000080.1
			product	Characterized Hit- tr|I3SJ79|I3SJ79_LOTJA Uncharacterized protein
			transl_table	1
	CDS	15228..15834	codon_start	1
			locus_tag	PRE_TEST_000000500
			note	LjLj3.0_chrCg3v0000110.1
			product	Ribosomal protein S4
			transl_table	1
	CDS	16399..16534	codon_start	1
			locus_tag	PRE_TEST_000000600
			note	LjLj3.0_chrCg3v0000130.1
			product	Ycf3 (Fragment)
			transl_table	1
	CDS	17245..17470	codon_start	1
			locus_tag	PRE_TEST_000000700
			note	LjLj3.0_chrCg3v0000150.1
			product	Photosystem I assembly protein ycf3
			transl_table	1
	CDS	join(19017..20246,20856..20981,21180..21269)	codon_start	1
			locus_tag	PRE_TEST_000000800
			note	LjLj3.0_chrCg3v0000180.1
			product	Photosystem I P700 chlorophyll a apoprotein A1
			transl_table	1
	CDS	25165..25408	codon_start	1
			locus_tag	PRE_TEST_000000900
			note	LjLj3.0_chrCg3v0000230.1
			product	ORF83b
			transl_table	1
	CDS	complement(27388..28395)	codon_start	1
			locus_tag	PRE_TEST_000001000
			note	LjLj3.0_chrCg3v0000250.1
			product	Photosystem II D2 protein (Fragment)
			transl_table	1
	CDS	31081..31249	codon_start	1
			locus_tag	PRE_TEST_000001100
			note	LjLj3.0_chrCg3v0000300.1
			product	Characterized Hit- tr|G7ZX90|G7ZX90_MEDTR Mitochondrial protein, putative
			transl_table	1
	CDS	31598..31703	codon_start	1
			locus_tag	PRE_TEST_000001200
			note	LjLj3.0_chrCg3v0000320.1
			product	Photosystem II protein M
			transl_table	1
	CDS	34384..35725	codon_start	1
			locus_tag	PRE_TEST_000001300
			note	LjLj3.0_chrCg3v0000370.1
			product	DNA-directed RNA polymerase subunit beta
			transl_table	1
	CDS	35779..37594	codon_start	1
			locus_tag	PRE_TEST_000001400
			note	LjLj3.0_chrCg3v0000380.1
			product	gene.g67809.t1.1
			transl_table	1
	CDS	42593..43139	codon_start	1
			locus_tag	PRE_TEST_000001500
			note	LjLj3.0_chrCg3v0000390.1
			product	RNA polymerase beta'' subunit (Fragment)
			transl_table	1
	CDS	44956..45661	codon_start	1
			locus_tag	PRE_TEST_000001600
			note	LjLj3.0_chrCg3v0000410.1
			product	30S ribosomal protein S2, chloroplastic
			transl_table	1
